f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,class
33.68256349839592,9.025678665766115,21.46353236431666,242.36683969636556,0,1.7258834599441897,6.327112473553353,13.29721772827684,73,0,0,0,0,0,142,22.927749230993864,0,6.518876973217633,56.15089696091113,0,162.18914307736603,72,1,1,2,0,1,0,0,1.3472143059081076,0,QqQqQ
79.02847731570753,7.151292743051223,20.613267308882918,231.16259501016503,0,2.5924241326736475,7.619884540163032,4.5425238177221905,89,0,0,0,0,0,115,26.82768119159602,0,7.118695504189474,193.4079955157258,0,294.63090921495643,64,0,0,0,0,0,0,0,0.5187671386507053,0,QqQqQ
68.45749070794797,8.392553685350862,13.991127243891668,159.58223960561193,0,6.48122585936608,8.428001350491492,12.209265546203783,74,0,0,0,0,1,118,33.80081704413547,1,8.965106303658107,65.36663683521382,0,277.5773575001914,115,0,0,1,0,0,0,0,7.43560414000302,1,QqQqQ
56.87430466708379,5.597237677578526,13.517608895586092,237.6021836280377,0,0.014691221285652034,6.310460689360432,18.454356090619612,89,0,0,0,0,0,94,20.716973826446807,0,6.045038774287464,92.8696998816807,0,291.1987801806695,117,0,1,0,1,0,0,0,0.7954975089177474,0,QqQqQ
66.53336947612827,5.477685593697583,1.9644126908445048,263.7341489945217,0,9.23632827520978,9.257694909794447,0.6460472705489217,68,0,0,0,1,0,143,38.387621858169126,1,6.062124473797494,52.47066963316466,0,216.48917492881301,88,0,0,2,0,0,0,3,5.897387927490878,0,QqQqQ
43.075893172318416,5.748223868874191,25.82073187432767,233.60575518016793,1,0.7562318075997931,1.531359787981249,12.167847629604712,72,0,0,0,0,1,117,27.833188380332352,0,7.39606097967361,144.0457395725674,0,151.16418620325027,119,0,0,0,1,0,0,1,6.736882043694737,1,QqQqQ
74.29124729357356,7.55177344379122,28.38840942324381,281.6300502325664,0,4.554393865141739,6.440772687360699,16.02868823659191,87,0,0,1,0,1,130,35.45630172642629,1,1.1489035304880713,130.49758044040834,0,144.17597454508945,78,0,0,0,0,0,0,0,8.086019121177605,0,QqQqQ
98.58554707886915,8.253004551076643,2.2003397962979965,254.43538612927824,0,9.003759363143377,3.9780788724660274,10.978021644757177,84,0,1,0,0,0,145,26.770945999107713,0,0.5151364226639332,148.29142290554302,1,81.52513703747937,63,0,0,1,0,1,0,0,7.0244173809347,1,QqQqQ
94.81173993148599,9.087141194537402,10.786498514103378,247.58461434698003,0,5.505587270988235,9.714565829085549,2.1757796502821014,64,1,1,1,0,0,94,27.942862734988346,0,6.7916856212055645,193.90848144359904,0,287.04788285803414,98,1,0,2,1,1,0,0,5.317231743513623,1,QqQqQ
99.28633938440575,6.736796641729542,22.715161212568912,204.67075926226835,1,1.9111312323709861,2.956494729127719,8.116831615915244,69,0,0,0,0,0,124,18.04591747393549,0,3.743028013922194,97.75564857738567,0,246.91076705746605,72,0,0,1,0,0,0,0,7.570632793725998,0,MmMmM
51.86713802597754,4.654828040280001,7.1676022573090235,200.50012324501552,0,1.3820863701922304,7.1828945553896775,4.433961006314455,63,0,0,1,0,0,148,22.822896244065568,1,9.365946321811961,181.0235603909688,0,119.65638624484552,116,0,0,2,0,0,1,1,7.929485772084872,1,MmMmM
20.887996233421724,6.790196088361632,15.544705792805381,214.90840553410436,0,7.498113889775122,7.127939893468465,9.385602765284368,72,0,0,0,0,0,132,37.93246902566973,0,5.189535531063215,132.1273691337255,0,192.76077931992407,107,0,0,2,0,1,0,0,3.3149826638192073,0,QqQqQ
50.597866648083844,7.393126210784456,11.044984290585633,195.20463483092433,0,6.538580145491703,4.06071391664163,18.426364465753824,68,0,0,0,0,1,144,20.041400357053135,0,0.5356392113596287,181.97792891304283,0,52.7869456132406,98,0,0,3,0,0,0,0,3.361536132824541,0,MmMmM
68.19563334929448,9.574004794993964,0.41131578577258576,210.15051832284004,0,3.001113535909161,9.12603821752063,12.063959313182217,65,0,0,0,0,0,178,37.543943165696646,1,2.7474835500249117,94.12843563635644,0,364.1496872647215,89,0,1,2,0,0,0,1,3.5312068468822524,0,QqQqQ
43.224165240355674,9.250389464823087,18.844436767326457,225.6582355059466,0,9.178852734182172,7.676580403528889,5.836420770415041,82,0,0,0,0,1,120,37.583877059139006,0,5.882797484487043,87.32844006802857,0,365.26308811921746,71,0,0,3,1,0,0,0,9.76757902526422,1,QqQqQ
26.635027886933045,4.4125955011923566,16.929658638603982,201.621614558135,0,4.572520339310109,6.93472637071743,3.2896501984691406,82,0,0,0,0,0,106,21.96939009200723,0,8.446629240526804,110.15186574533797,0,99.8158551730985,95,0,0,1,0,0,1,2,3.2423431324092586,1,MmMmM
37.71320826063381,6.7325950076725825,12.99198002026128,239.26341370570788,0,0.37362673380336386,7.198931182955705,9.775941142399535,64,0,0,0,0,1,153,15.457688068877605,1,2.4758166541920135,198.44986386073307,0,297.5005585236952,81,0,0,1,0,0,1,0,6.217547835258514,1,MmMmM
36.0991304045596,5.797063982273073,20.449127109316105,271.89297836488447,0,3.1769672736372656,6.509781497051291,10.428664097862917,72,1,0,0,0,0,177,34.91818382670918,0,6.601261387497216,116.66457125453137,0,67.7487142135675,61,1,0,3,0,0,0,0,0.40634805209964764,1,QqQqQ
24.055801625231148,6.090393671344253,28.715931801368612,189.98167751139005,0,6.173437286836137,9.986553927183724,15.919274092857767,71,0,0,0,0,0,134,18.4347889493694,0,6.0503404944298715,73.92538973889418,1,95.42414615905524,77,0,0,2,0,0,1,0,2.0325055299205284,0,QqQqQ
88.90087636957928,7.869067535006348,28.661262174905925,186.55983336914747,0,2.1116385814865812,0.44269086420938963,4.692218861789743,83,0,1,0,0,0,107,30.95364704240386,0,8.153338978912668,63.42324157105127,0,114.9232292815966,104,0,0,1,0,0,1,0,1.2892518488393956,0,QqQqQ
